total_pop,PLACEFP,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct
24231.0,04415,2428.0,84.0,209.0,1843.0,2672.0,16453.0,542.0,21803.0,0.10020222029631463,,,0.07605959308324048,0.11027196566381907,0.6790062316866824,,0.8997977797036854
2751.0,04470,695.0,0.0,25.0,222.0,259.0,1550.0,0.0,2056.0,0.25263540530716105,,,,,,,0.747364594692839
2803.0,04478,1776.0,7.0,0.0,0.0,548.0,268.0,204.0,1027.0,0.6336068498037817,,,,,,,0.3663931501962183
1580.0,04549,785.0,0.0,0.0,2.0,555.0,90.0,148.0,795.0,0.49683544303797467,,,,0.3512658227848101,,,0.5031645569620253
1344.0,04576,724.0,4.0,0.0,218.0,41.0,154.0,203.0,620.0,0.5386904761904762,,,,,,,0.46130952380952384
346.0,04632,45.0,0.0,0.0,23.0,0.0,278.0,0.0,301.0,,,,,,,,0.869942196531792
120.0,04716,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
214.0,04730,129.0,0.0,0.0,0.0,19.0,66.0,0.0,85.0,,,,,,,,
5912.0,04734,4770.0,0.0,0.0,19.0,165.0,547.0,411.0,1142.0,0.8068335588633289,,,,,0.09252368064952639,,0.19316644113667117
56266.0,04758,18991.0,255.0,84.0,4585.0,3837.0,26325.0,2189.0,37275.0,0.3375217715849714,,,0.081487932321473,0.06819393594710838,0.4678669178544769,0.03890448938968471,0.6624782284150286
388.0,04772,262.0,0.0,0.0,0.0,0.0,24.0,102.0,126.0,0.6752577319587629,,,,,,,
0.0,04856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
32476.0,04870,2248.0,42.0,49.0,597.0,326.0,29049.0,165.0,30228.0,0.06922034733341545,,,,,0.8944759206798867,,0.9307796526665846
4511.0,04926,3701.0,48.0,0.0,2.0,253.0,360.0,147.0,810.0,0.8204389270671691,,,,,,,0.17956107293283086
2177.0,04938,1595.0,0.0,0.0,0.0,419.0,88.0,75.0,582.0,0.7326596233348645,,,,,,,0.2673403766651355
76819.0,04982,10703.0,71.0,123.0,8029.0,8652.0,46387.0,2854.0,66116.0,0.139327510121194,,,0.10451841341334826,0.11262838620653745,0.6038480063525951,0.03715226701727437,0.8606724898788061
38229.0,04996,531.0,0.0,18.0,212.0,212.0,37135.0,121.0,37698.0,,,,,,0.9713829815061864,,0.9861100211881033
27337.0,05108,12517.0,73.0,1.0,505.0,8375.0,3578.0,2288.0,14820.0,0.4578776017851264,,,,0.3063613417712258,0.13088488129641146,0.08369608954896295,0.5421223982148736
2345.0,05164,1995.0,0.0,0.0,14.0,132.0,137.0,67.0,350.0,0.8507462686567164,,,,,,,0.14925373134328357
316.0,05262,297.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.939873417721519,,,,,,,
593.0,05276,370.0,0.0,0.0,0.0,78.0,0.0,145.0,223.0,0.6239460370994941,,,,,,,
26749.0,05290,15903.0,60.0,80.0,1141.0,2897.0,4137.0,2531.0,10846.0,0.5945268982018019,,,0.04265580021683053,0.10830311413510786,0.15465998728924446,0.0946203596396127,0.40547310179819807
6858.0,05332,5606.0,8.0,0.0,0.0,142.0,801.0,301.0,1252.0,0.8174394867308253,,,,,0.1167979002624672,,0.1825605132691747
292.0,05346,145.0,53.0,0.0,0.0,0.0,38.0,56.0,147.0,,0.1815068493150685,,,,,,0.5034246575342466
5707.0,05356,787.0,28.0,10.0,423.0,92.0,4296.0,71.0,4920.0,0.13790082355002628,,,,,0.752759768705099,,0.8620991764499737
120257.0,06000,59992.0,100.0,137.0,9284.0,24473.0,15343.0,10928.0,60265.0,0.49886493093957107,,,0.07720132715767065,0.20350582502473868,0.1275850886019109,0.09087204902833099,0.5011350690604289
7971.0,06028,4347.0,19.0,0.0,80.0,228.0,2809.0,488.0,3624.0,0.5453519006398193,,,,,0.35240245891356164,,0.45464809936018064
760.0,06070,609.0,28.0,6.0,0.0,0.0,43.0,74.0,151.0,0.8013157894736842,,,,,,,0.1986842105263158
2250.0,06150,1368.0,110.0,0.0,0.0,2.0,524.0,246.0,882.0,0.608,,,,,,,0.392
1864.0,06210,995.0,0.0,38.0,0.0,54.0,777.0,0.0,869.0,0.5337982832618026,,,,,,,
31624.0,06308,21796.0,33.0,0.0,673.0,4264.0,2462.0,2396.0,9828.0,0.6892233746521629,,,,0.13483430306096636,0.07785226410321275,0.07576524158866683,0.31077662534783707
266.0,06336,211.0,3.0,0.0,0.0,10.0,42.0,0.0,55.0,0.793233082706767,,,,,,,
11431.0,06406,8328.0,94.0,56.0,45.0,271.0,2034.0,603.0,3103.0,0.7285451841483684,,,,,0.17793718834747616,,0.2714548158516315
5041.0,06434,3276.0,13.0,0.0,52.0,132.0,1346.0,222.0,1765.0,0.6498710573298948,,,,,0.267010513786947,,0.35012894267010514
67.0,06475,56.0,0.0,0.0,0.0,5.0,0.0,6.0,11.0,0.835820895522388,,,,,,,
69.0,06518,29.0,10.0,0.0,0.0,0.0,30.0,0.0,40.0,0.42028985507246375,,,,,,,
2307.0,06560,1493.0,0.0,0.0,0.0,9.0,633.0,172.0,814.0,0.64716081491114,,,,,0.2743823146944083,,0.35283918508886
138.0,06567,121.0,0.0,0.0,0.0,0.0,10.0,7.0,17.0,0.8768115942028986,,,,,,,
1615.0,06616,824.0,370.0,1.0,0.0,18.0,235.0,167.0,791.0,0.5102167182662539,0.22910216718266255,,,,,0.10340557275541795,0.48978328173374613
1140.0,06635,914.0,18.0,0.0,0.0,0.0,180.0,28.0,226.0,0.8017543859649123,,,,,0.15789473684210525,,0.19824561403508772
1070.0,06728,38.0,0.0,0.0,0.0,0.0,1032.0,0.0,1032.0,,,,,,0.9644859813084112,,0.9644859813084112
3778.0,06798,2914.0,5.0,0.0,0.0,103.0,585.0,171.0,864.0,0.7713075701429327,,,,,0.1548438327157226,,0.22869242985706723
10137.0,06928,6069.0,10.0,25.0,602.0,2304.0,704.0,423.0,4068.0,0.5986978395975141,,,,0.22728617934300088,0.06944855479925027,,0.40130216040248595
983.0,06935,865.0,0.0,0.0,0.0,75.0,24.0,19.0,118.0,0.8799593082400814,,,,,,,
1655.0,06982,1134.0,0.0,0.0,0.0,410.0,60.0,51.0,521.0,0.6851963746223565,,,,,,,
0.0,06994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
324.0,07036,297.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.9166666666666666,,,,,,,
25698.0,07064,2176.0,51.0,0.0,803.0,189.0,22285.0,194.0,23522.0,0.08467585026072068,,,,,0.8671881080239707,,0.9153241497392793
982.0,07162,877.0,19.0,8.0,0.0,0.0,26.0,52.0,105.0,0.8930753564154786,,,,,,,
177.0,07172,165.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.9322033898305084,,,,,,,
17396.0,07218,4043.0,87.0,56.0,2097.0,260.0,10127.0,726.0,13353.0,0.23240974936767073,,,0.12054495286272707,,0.5821453207633939,,0.7675902506323292
134.0,07246,115.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.8582089552238806,,,,,,,
1139.0,07260,788.0,0.0,0.0,17.0,0.0,334.0,0.0,351.0,0.6918349429323969,,,0.014925373134328358,,,,
1694.0,07274,1439.0,25.0,0.0,0.0,0.0,97.0,133.0,255.0,0.8494687131050768,,,,,,,
1334.0,07316,1055.0,2.0,0.0,0.0,10.0,171.0,96.0,279.0,0.7908545727136432,,,,,,,
356.0,07372,215.0,0.0,0.0,104.0,0.0,0.0,37.0,141.0,0.6039325842696629,,,,,,,
5465.0,07378,2800.0,0.0,0.0,28.0,115.0,2144.0,378.0,2665.0,0.5123513266239708,,,,,0.39231473010064044,,0.4876486733760293
12652.0,07414,4342.0,0.0,0.0,242.0,1531.0,6151.0,386.0,8310.0,0.34318684792918114,,,,0.12100853619981031,0.4861681947518179,0.030509010433133102,0.6568131520708188
3149.0,07470,2376.0,0.0,0.0,0.0,129.0,366.0,278.0,773.0,0.7545252461098761,,,,,,,
4332.0,07498,2617.0,0.0,0.0,42.0,117.0,1327.0,229.0,1715.0,0.6041089566020313,,,,,,,0.3958910433979686
667.0,07512,364.0,0.0,0.0,34.0,5.0,228.0,36.0,303.0,0.545727136431784,,,,,,,
400.0,07525,330.0,0.0,0.0,0.0,0.0,31.0,39.0,70.0,0.825,,,,,,,
2698.0,07568,885.0,63.0,12.0,197.0,77.0,952.0,512.0,1813.0,0.32802075611564124,,,,,0.35285396590066714,,0.6719792438843588
1351.0,07578,159.0,0.0,0.0,0.0,153.0,1020.0,19.0,1192.0,,,,,,0.7549962990377498,,0.8823094004441154
2700.0,07596,1630.0,17.0,0.0,1.0,0.0,998.0,54.0,1070.0,0.6037037037037037,,,,,,,
16765.0,07624,8142.0,0.0,0.0,1481.0,545.0,5496.0,1101.0,8623.0,0.4856546376379362,,,,,0.32782582761705936,0.06567253206084103,0.5143453623620639
