PLACEFP,NAME,native_incidents,asian_incidents,black_incidents,hispanic_incidents,pi_incidents,unknown_incidents,white_incidents,total_incidents,poc_incidents,native_incidents_pct,asian_incidents_pct,black_incidents_pct,hispanic_incidents_pct,pi_incidents_pct,unknown_incidents_pct,white_incidents_pct,poc_incidents_pct,total_pop,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct,native_likelihood_vs_white,asian_likelihood_vs_white,black_likelihood_vs_white,hispanic_likelihood_vs_white,pi_likelihood_vs_white,unknown_likelihood_vs_white,poc_likelihood_vs_white
09360,Cabazon,0,0,0,0,0,1,2,3,1,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,33.33333333333333,1887.0,869.0,0.0,37.0,21.0,5.0,871.0,84.0,1018.0,0.4605193428722841,,,,,0.4615792262851086,,0.539480657127716,,,,,,,
09598,Calabasas,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22669.0,15834.0,13.0,0.0,589.0,2552.0,2301.0,1380.0,6835.0,0.6984869204640699,,,,0.1125766465216815,0.1015042569147293,0.0608760862852353,0.3015130795359301,,,,,,,
09710,Calexico,0,0,0,3,0,0,0,3,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,38585.0,442.0,19.0,14.0,45.0,392.0,37573.0,100.0,38143.0,,,,,,0.973772191266036,,0.9885447712841778,,,,,,,
09864,Calimesa,0,0,0,1,0,0,1,2,1,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,10902.0,6617.0,34.0,0.0,294.0,99.0,3386.0,472.0,4285.0,0.6069528526875803,,,,,0.3105852137222528,,0.3930471473124197,,,,,,,
10046,Camarillo,0,0,0,0,0,1,1,2,1,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,70186.0,34589.0,211.0,152.0,2140.0,7801.0,21295.0,3998.0,35597.0,0.4928190807283504,,,0.0304904111931154,0.1111475222978941,0.303408087082894,0.0569629270794745,0.5071809192716497,,,,,,,
10345,Campbell,0,0,0,1,0,1,0,2,2,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,42781.0,19225.0,21.0,303.0,660.0,11033.0,8326.0,3213.0,23556.0,0.4493817348823076,,,,0.2578948598676983,0.1946191066127486,0.0751034337673266,0.5506182651176924,,,,,,,
10508,Campo,0,0,0,1,0,0,1,2,1,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,2729.0,1326.0,15.0,0.0,44.0,69.0,1240.0,35.0,1403.0,0.4858922682301209,,,,,0.4543788933675339,,0.5141077317698791,,,,,,,
11250,Carmel-by-the-Sea,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3162.0,2678.0,0.0,0.0,32.0,52.0,143.0,257.0,484.0,0.846932321315623,,,,,,,,,,,,,,
11390,Carmichael,0,0,5,1,0,0,3,9,6,0.0,0.0,55.55555555555556,11.11111111111111,0.0,0.0,33.33333333333333,66.66666666666666,76948.0,47975.0,120.0,234.0,4758.0,5986.0,11900.0,5975.0,28973.0,0.6234729947497011,,,0.0618339657950823,0.0777927951343764,0.1546498934345272,0.0776498414513697,0.3765270052502989,0.0,0.0,16.805030124702256,1.3438375350140055,0.0,0.0,3.311704000276119
11530,Carson,0,1,0,3,0,0,0,4,4,0.0,25.0,0.0,75.0,0.0,0.0,0.0,100.0,92871.0,5855.0,108.0,1227.0,20111.0,24926.0,36331.0,4313.0,87016.0,0.0630444379838701,,,0.2165476844224785,0.2683937935415791,0.3911985442172476,0.0464407619170677,0.93695556201613,,,,,,,
